locus_tag	gene	type	rv_equivalent	start	end	strand	source
Erdman_2019	ephB	CDS	Rv1938	2192435	2193506	+	ratt
Erdman_2020	ERv1939	CDS	Rv1939	2193502	2194018	+	ratt
Erdman_2021	ribA1	CDS	Rv1940	2194014	2195076	+	ratt
Erdman_2022	ERv1941	CDS	Rv1941	2195072	2195843	+	ratt
Erdman_2023	mazF5	CDS	Rv1942c	2196052	2196382	-	ratt
Erdman_2024	mazE5	CDS	Rv1943c	2196378	2196756	-	ratt
Erdman_2025	ERv1944c	CDS	Rv1944c	2196752	2197343	-	ratt
Erdman_2026	ERv1945	CDS	Rv1945	2197397	2198762	+	ratt
Erdman_2027	lppG	CDS	Rv1946c	2198916	2199369	-	ratt
Erdman_2028	ERv1947	CDS	Rv1947	2199432	2199834	+	ratt
Erdman_2029	ERv1948c	CDS	Rv1948c	2200122	2200473	-	ratt
Erdman_2030	Erdman_2030	CDS		2200483	2201386	-	bakta
Erdman_2031	ERv1950c	CDS	Rv1950c	2201406	2201598	-	ratt
Erdman_2032	ERv1951c	CDS	Rv1951c	2201598	2201895	-	ratt
Erdman_2033	vapB14	CDS	Rv1952	2202134	2202350	+	ratt
Erdman_2034	vapC14	CDS	Rv1953	2202346	2202658	+	ratt
Erdman_2035	ERv1954c	CDS	Rv1954c	2202631	2203153	-	ratt
Erdman_2036	higB	CDS	Rv1955	2203127	2203505	+	ratt
Erdman_2037	higA	CDS	Rv1956	2203546	2203996	+	ratt
Erdman_2038	ERv1957	CDS	Rv1957	2203992	2204538	+	ratt
Erdman_2039	ERv1958c	CDS	Rv1958c	2204426	2205041	-	ratt
Erdman_2040	parE1	CDS	Rv1959c	2205089	2205386	-	ratt
Erdman_2041	parD1	CDS	Rv1960c	2205382	2205634	-	ratt
Erdman_2042	ERv1961	CDS	Rv1961	2205620	2206115	+	ratt
Erdman_2043	Erdman_2043	CDS		2206114	2206222	+	bakta
Erdman_2044	vapC35	CDS	Rv1962c	2206274	2206682	-	ratt
Erdman_2045	vapB35	CDS	Rv1962A	2206685	2206958	-	ratt
Erdman_2046	mce3R	CDS	Rv1963c	2206990	2208211	-	ratt
Erdman_2047	Erdman_2047	CDS		2208358	2208616	+	bakta
Erdman_2048	yrbE3A	CDS	Rv1964	2209109	2209907	+	ratt
Erdman_2049	yrbE3B	CDS	Rv1965	2209916	2210732	+	ratt
Erdman_2050	mce3A	CDS	Rv1966	2210736	2212014	+	ratt
Erdman_2051	mce3B	CDS	Rv1967	2212010	2213039	+	ratt
Erdman_2052	mce3C	CDS	Rv1968	2213035	2214268	+	ratt
Erdman_2053	mce3D	CDS	Rv1969	2214264	2215536	+	ratt
Erdman_2054	lprM	CDS	Rv1970	2215532	2216666	+	ratt
Erdman_2055	mce3F	CDS	Rv1971	2216666	2217980	+	ratt
Erdman_2056	ERv1972	CDS	Rv1972	2218001	2218577	+	ratt
Erdman_2057	ERv1973	CDS	Rv1973	2218573	2219056	+	ratt
Erdman_2058	ERv1974	CDS	Rv1974	2219068	2219446	+	ratt
Erdman_2059	ERv1975	CDS	Rv1975	2219461	2220127	+	ratt
Erdman_2060	ERv1976c	CDS	Rv1976c	2220253	2220661	-	ratt
Erdman_2061	ERv1977	CDS	Rv1977	2221163	2222210	+	ratt
Erdman_2062	ERv1978	CDS	Rv1978	2222317	2223166	+	ratt
Erdman_2063	ERv1979c	CDS	Rv1979c	2223128	2224574	-	ratt
Erdman_2064	mpt64	CDS	Rv1980c	2224752	2225439	-	ratt
Erdman_2065	nrdF1	CDS	Rv1981c	2225629	2226598	-	ratt
Erdman_2066	vapC36	CDS	Rv1982c	2226822	2227242	-	ratt
Erdman_2067	vapB36	CDS	Rv1982A	2227250	2227511	-	ratt
Erdman_2068	PE_PGRS35	CDS	Rv1983	2227653	2229330	+	ratt
Erdman_2069	cfp21	CDS	Rv1984c	2229317	2229971	-	ratt
Erdman_2070	ERV1984a	CDS	RV1984a	2230085	2230316	+	ratt
Erdman_2071	ERv1985c	CDS	Rv1985c	2230400	2231312	-	ratt
Erdman_2072	ERv1986	CDS	Rv1986	2231420	2232020	+	ratt
Erdman_2073	ERv1987	CDS	Rv1987	2232435	2232864	+	ratt
Erdman_2074	erm(37)	CDS	Rv1988	2233089	2233629	+	ratt
Erdman_2075	ERv1989c	CDS	Rv1989c	2234148	2234709	-	ratt
Erdman_2076	ERv1990c	CDS	Rv1990c	2234705	2235047	-	ratt
Erdman_2077	Erdman_2077	CDS		2235132	2235390	+	bakta
Erdman_2078	Erdman_2078	CDS		2235290	2235626	-	bakta
Erdman_2079	mazF6	CDS	Rv1991c	2235714	2236059	-	ratt
Erdman_2080	mazE6	CDS	Rv1991A	2236052	2236301	-	ratt
Erdman_2081	ctpG	CDS	Rv1992c	2236400	2238716	-	ratt
Erdman_2082	ERv1993c	CDS	Rv1993c	2238712	2238985	-	ratt
Erdman_2083	cmtR	CDS	Rv1994c	2239037	2239394	-	ratt
Erdman_2084	ERv1995	CDS	Rv1995	2239550	2240318	+	ratt
Erdman_2085	ERv1996	CDS	Rv1996	2240413	2241367	+	ratt
Erdman_2086	ctpF	CDS	Rv1997	2241568	2244286	+	ratt
Erdman_2087	ERv1998c	CDS	Rv1998c	2244354	2245131	-	ratt
Erdman_2088	ERv1999c	CDS	Rv1999c	2245225	2246548	-	ratt
Erdman_2089	ERv2000	CDS	Rv2000	2246618	2248232	+	ratt
Erdman_2090	ERv2001	CDS	Rv2001	2248241	2248994	+	ratt
Erdman_2091	fabG3	CDS	Rv2002	2249069	2249852	+	ratt
Erdman_2092	ERv2003c	CDS	Rv2003c	2249972	2250830	-	ratt
Erdman_2093	ERv2004c	CDS	Rv2004c	2250887	2252384	-	ratt
Erdman_2094	ERv2005c	CDS	Rv2005c	2252405	2253293	-	ratt
Erdman_2095	otsB1	CDS	Rv2006	2253411	2257395	+	ratt
Erdman_2096	fdxA	CDS	Rv2007c	2257493	2257838	-	ratt
Erdman_2097	ERv2008c	CDS	Rv2008c	2258026	2259352	-	ratt
Erdman_2098	vapB15	CDS	Rv2009	2259439	2259682	+	ratt
Erdman_2099	vapC15	CDS	Rv2010	2259682	2260081	+	ratt
Erdman_2100	ERv2011c	CDS	Rv2011c	2260263	2260695	-	ratt
Erdman_2101	ERv2012	CDS	Rv2012	2260735	2261230	+	ratt
Erdman_2102	Erdman_2102	CDS		2261933	2262554	+	bakta
Erdman_2103	Erdman_2103	CDS		2262507	2263098	+	bakta
Erdman_2104	ERv2015c	CDS	Rv2015c	2263225	2264482	-	ratt
Erdman_2105	ERv2016	CDS	Rv2016	2264835	2265411	+	ratt
Erdman_2106	ERv2017	CDS	Rv2017	2265407	2266448	+	ratt
Erdman_2107	ERv2018	CDS	Rv2018	2266689	2267409	+	ratt
Erdman_2108	ERv2019	CDS	Rv2019	2267398	2267815	+	ratt
Erdman_2109	Erdman_2109	CDS		2267830	2268118	-	bakta
Erdman_2110	ERv2021c	CDS	Rv2021c	2268214	2268520	-	ratt
Erdman_2111	ERv2022c	CDS	Rv2022c	2268528	2269134	-	ratt
Erdman_2112	ERv2023c	CDS	Rv2023c	2269158	2269518	-	ratt
Erdman_2113	ERv2023A	CDS	Rv2023A	2269677	2270136	-	ratt
Erdman_2114	Erdman_2114	CDS		2270306	2270543	-	bakta
Erdman_2115	Ms_AS-8	ncRNA		2270580	2270650	+	bakta
Erdman_2116	Erdman_2116	CDS		2270749	2271646	-	bakta
Erdman_2117	ERv2024c	CDS	Rv2024c	2271829	2276650	-	ratt
Erdman_2118	ERv2025c	CDS	Rv2025c	2277159	2278158	-	ratt
Erdman_2119	ERv2026c	CDS	Rv2026c	2278272	2279157	-	ratt
Erdman_2120	dosT	CDS	Rv2027c	2279196	2280918	-	ratt
Erdman_2121	ERv2028c	CDS	Rv2028c	2280978	2281818	-	ratt
Erdman_2122	pfkB	CDS	Rv2029c	2281814	2282834	-	ratt
Erdman_2123	ERv2030c	CDS	Rv2030c	2282850	2284896	-	ratt
Erdman_2124	hspX	CDS	Rv2031c	2284907	2285342	-	ratt
Erdman_2125	acg	CDS	Rv2032	2285538	2286534	+	ratt
Erdman_2126	ERv2033c	CDS	Rv2033c	2286649	2287492	-	ratt
Erdman_2127	ERv2034	CDS	Rv2034	2287703	2288027	+	ratt
Erdman_2128	ERv2035	CDS	Rv2035	2288023	2288512	+	ratt
Erdman_2129	ERv2036	CDS	Rv2036	2288508	2289150	+	ratt
Erdman_2130	ERv2037c	CDS	Rv2037c	2289156	2290131	-	ratt
Erdman_2131	ERv2038c	CDS	Rv2038c	2290132	2291206	-	ratt
Erdman_2132	ERv2039c	CDS	Rv2039c	2291208	2292051	-	ratt
Erdman_2133	ERv2040c	CDS	Rv2040c	2292037	2292940	-	ratt
Erdman_2134	ERv2041c	CDS	Rv2041c	2292936	2294256	-	ratt
Erdman_2135	ERv2042c	CDS	Rv2042c	2294293	2295091	-	ratt
Erdman_2136	pncA	CDS	Rv2043c	2295090	2295651	-	ratt
Erdman_2137	ERv2044c	CDS	Rv2044c	2295691	2296009	-	ratt
Erdman_2138	lipT	CDS	Rv2045c	2296094	2297630	-	ratt
Erdman_2139	lppI	CDS	Rv2046	2297678	2298335	+	ratt
Erdman_2140	ERv2047c	CDS	Rv2047c	2298371	2300936	-	ratt
Erdman_2141	pks12	CDS	Rv2048c	2300940	2313396	-	ratt
Erdman_2142	ASpks	ncRNA	RVnc0003	2306154	2306296	+	ratt
Erdman_2143	ERv2049c	CDS	Rv2049c	2313702	2313927	-	ratt
Erdman_2144	ERv2050	CDS	Rv2050	2314230	2314566	+	ratt
Erdman_2145	ppm1	CDS	Rv2051c	2314540	2317165	-	ratt
Erdman_2146	ERv2052c	CDS	Rv2052c	2317322	2318927	-	ratt
Erdman_2147	fxsA	CDS	Rv2053c	2318931	2319459	-	ratt
Erdman_2148	ERv2054	CDS	Rv2054	2319534	2320248	+	ratt
Erdman_2149	rpsR2	CDS	Rv2055c	2320496	2320763	-	ratt
Erdman_2150	rpsN2	CDS	Rv2056c	2320763	2321069	-	ratt
Erdman_2151	rpmG1	CDS	Rv2057c	2321070	2321235	-	ratt
Erdman_2152	rpmB2	CDS	Rv2058c	2321234	2321471	-	ratt
Erdman_2153	ERv2059	CDS	Rv2059	2321583	2323119	+	ratt
Erdman_2154	ERv2060	CDS	Rv2060	2322688	2323090	+	ratt
Erdman_2155	ERv2061c	CDS	Rv2061c	2323090	2323495	-	ratt
Erdman_2156	cobN	CDS	Rv2062c	2323578	2327163	-	ratt
Erdman_2157	mazE7	CDS	Rv2063	2327240	2327474	+	ratt
Erdman_2158	mazF7	CDS	Rv2063A	2327466	2327877	+	ratt
Erdman_2159	cobG	CDS	Rv2064	2327860	2328952	+	ratt
Erdman_2160	cobH	CDS	Rv2065	2328961	2329588	+	ratt
Erdman_2161	cobIJ	CDS	Rv2066	2329584	2331111	+	ratt
Erdman_2162	ERv2067c	CDS	Rv2067c	2331056	2332280	-	ratt
Erdman_2163	blaC	CDS	Rv2068c	2332295	2333219	-	ratt
Erdman_2164	sigC	CDS	Rv2069	2333353	2333911	+	ratt
Erdman_2165	cobK	CDS	Rv2070c	2333900	2334635	-	ratt
Erdman_2166	cobM	CDS	Rv2071c	2334631	2335387	-	ratt
Erdman_2167	cobL	CDS	Rv2072c	2335383	2336556	-	ratt
Erdman_2168	ERv2073c	CDS	Rv2073c	2336623	2337373	-	ratt
Erdman_2169	ERv2074	CDS	Rv2074	2337402	2337816	+	ratt
Erdman_2170	ERv2075c	CDS	Rv2075c	2337825	2339289	-	ratt
Erdman_2171	ERv2076c	CDS	Rv2076c	2339446	2339698	-	ratt
Erdman_2172	ERv2077c	CDS	Rv2077c	2339732	2340704	-	ratt
Erdman_2173	ERv2077A	CDS	Rv2077A	2340704	2341004	-	ratt
Erdman_2174	ERv2078	CDS	Rv2078	2341468	2341783	+	ratt
Erdman_2175	ERv2079	CDS	Rv2079	2341764	2343735	+	ratt
Erdman_2176	lppJ	CDS	Rv2080	2343715	2344279	+	ratt
Erdman_2177	ERv2081c	CDS	Rv2081c	2344474	2344915	-	ratt
Erdman_2178	ERv2082	CDS	Rv2082	2345118	2348220	+	ratt
Erdman_2179	ERv2083	CDS	Rv2083	2347275	2348220	+	ratt
Erdman_2180	ERv2084	CDS	Rv2084	2348212	2349349	+	ratt
Erdman_2181	ERv2085	CDS	Rv2085	2349431	2349737	+	ratt
Erdman_2182	ERv2086	CDS	Rv2086	2349715	2350321	+	ratt
Erdman_2183	pknJ	CDS	Rv2088	2350815	2352585	+	ratt
Erdman_2184	pepE	CDS	Rv2089c	2352601	2353729	-	ratt
Erdman_2185	ERv2090	CDS	Rv2090	2353777	2354845	+	ratt
Erdman_2186	ERv2091c	CDS	Rv2091c	2354848	2355583	-	ratt
Erdman_2187	helY	CDS	Rv2092c	2355624	2358345	-	ratt
Erdman_2188	tatC	CDS	Rv2093c	2358461	2359388	-	ratt
Erdman_2189	tatA	CDS	Rv2094c	2359404	2359656	-	ratt
Erdman_2190	pafC	CDS	Rv2095c	2359723	2360674	-	ratt
Erdman_2191	pafB	CDS	Rv2096c	2360670	2361669	-	ratt
Erdman_2192	pafA	CDS	Rv2097c	2361677	2363036	-	ratt
Erdman_2193	PE_PGRS36	CDS	Rv2098c	2363087	2364390	-	ratt
Erdman_2194	PE21	CDS	Rv2099c	2364389	2364563	-	ratt
Erdman_2195	ERv2100	CDS	Rv2100	2364745	2366398	+	ratt
Erdman_2196	helZ	CDS	Rv2101	2366596	2368513	+	ratt
Erdman_2197	ERv2102	CDS	Rv2102	2368221	2368692	+	ratt
Erdman_2198	vapC37	CDS	Rv2103c	2368670	2369105	-	ratt
Erdman_2199	vapB37	CDS	Rv2104c	2369111	2369366	-	ratt
Erdman_2200	ERv2104a	CDS	Rv2104a	2369381	2369639	-	ratt
Erdman_2201	PE22	CDS	Rv2107	2370585	2370882	+	ratt
Erdman_2202	PPE36	CDS	Rv2108	2370937	2371669	+	ratt
Erdman_2203	prcA	CDS	Rv2109c	2372208	2372955	-	ratt
Erdman_2204	prcB	CDS	Rv2110c	2372951	2373827	-	ratt
Erdman_2205	pup	CDS	Rv2111c	2373823	2374018	-	ratt
Erdman_2206	dop	CDS	Rv2112c	2374130	2375852	-	ratt
Erdman_2207	ERv2113	CDS	Rv2113	2375912	2377106	+	ratt
Erdman_2208	ERv2114	CDS	Rv2114	2377116	2377740	+	ratt
Erdman_2209	mpa	CDS	Rv2115c	2377743	2379573	-	ratt
Erdman_2210	lppK	CDS	Rv2116	2379853	2380423	+	ratt
Erdman_2211	ERv2117	CDS	Rv2117	2380430	2380724	+	ratt
Erdman_2212	ERv2118c	CDS	Rv2118c	2380752	2381595	-	ratt
Erdman_2213	ERv2119	CDS	Rv2119	2381668	2382505	+	ratt
Erdman_2214	ERv2120c	CDS	Rv2120c	2382527	2383010	-	ratt
Erdman_2215	hisG	CDS	Rv2121c	2383088	2383943	-	ratt
Erdman_2216	hisE	CDS	Rv2122c	2383945	2384227	-	ratt
Erdman_2217	PPE37	CDS	Rv2123	2384353	2385775	+	ratt
Erdman_2218	metH	CDS	Rv2124c	2385771	2389350	-	ratt
Erdman_2219	ERv2125	CDS	Rv2125	2389575	2390454	+	ratt
Erdman_2220	PE_PGRS37	CDS	Rv2126c	2390484	2391255	-	ratt
Erdman_2221	ansP1	CDS	Rv2127	2391898	2393368	+	ratt
Erdman_2222	ERv2128	CDS	Rv2128	2393367	2393571	+	ratt
Erdman_2223	ERv2129c	CDS	Rv2129c	2393590	2394472	-	ratt
Erdman_2224	mshC	CDS	Rv2130c	2394497	2395742	-	ratt
Erdman_2225	cysQ	CDS	Rv2131c	2395799	2396603	-	ratt
Erdman_2226	ERv2132	CDS	Rv2132	2396693	2396924	+	ratt
Erdman_2227	ERv2133c	CDS	Rv2133c	2397133	2397922	-	ratt
Erdman_2228	ERv2134c	CDS	Rv2134c	2397932	2398520	-	ratt
Erdman_2229	ERv2135c	CDS	Rv2135c	2398583	2399294	-	ratt
Erdman_2230	ERv2136c	CDS	Rv2136c	2399290	2400121	-	ratt
Erdman_2231	ERv2137c	CDS	Rv2137c	2400184	2400598	-	ratt
Erdman_2232	lppL	CDS	Rv2138	2400612	2401689	+	ratt
Erdman_2233	pyrD	CDS	Rv2139	2402002	2403076	+	ratt
Erdman_2234	TB18.6	CDS	Rv2140c	2403080	2403611	-	ratt
Erdman_2235	ERv2141c	CDS	Rv2141c	2403658	2405005	-	ratt
Erdman_2236	leuU	tRNA	Rvnt22	2405269	2405355	+	ratt
Erdman_2237	trnL	tRNA		2405385	2405471	+	bakta
Erdman_2238	parE2	CDS	Rv2142c	2405591	2405909	-	ratt
Erdman_2239	parD2	CDS	Rv2142A	2405905	2406121	-	ratt
Erdman_2240	ERv2143	CDS	Rv2143	2406375	2407434	+	ratt
Erdman_2241	ERv2144c	CDS	Rv2144c	2407563	2407920	-	ratt
Erdman_2242	wag31	CDS	Rv2145c	2408014	2408797	-	ratt
Erdman_2243	ERv2146c	CDS	Rv2146c	2409064	2409355	-	ratt
Erdman_2244	ERv2147c	CDS	Rv2147c	2409516	2410242	-	ratt
Erdman_2245	ERv2148c	CDS	Rv2148c	2410238	2411015	-	ratt
Erdman_2246	yfiH	CDS	Rv2149c	2411020	2411773	-	ratt
Erdman_2247	ftsZ	CDS	Rv2150c	2411783	2412923	-	ratt
Erdman_2248	ftsQ	CDS	Rv2151c	2413095	2414040	-	ratt
Erdman_2249	murC	CDS	Rv2152c	2414036	2415521	-	ratt
Erdman_2250	murG	CDS	Rv2153c	2415517	2416750	-	ratt
Erdman_2251	ftsW	CDS	Rv2154c	2416746	2418321	-	ratt
Erdman_2252	murD	CDS	Rv2155c	2418332	2419793	-	ratt
Erdman_2253	murX	CDS	Rv2156c	2419794	2420874	-	ratt
Erdman_2254	murF	CDS	Rv2157c	2420870	2422403	-	ratt
Erdman_2255	murE	CDS	Rv2158c	2422399	2424007	-	ratt
Erdman_2256	ERv2159c	CDS	Rv2159c	2424029	2425064	-	ratt
Erdman_2257	ERv2161c	CDS	Rv2161c	2425669	2426536	-	ratt
Erdman_2258	PE_PGRS38	CDS	Rv2162c	2426638	2428012	-	ratt
Erdman_2259	pbpB	CDS	Rv2163c	2428221	2430261	-	ratt
Erdman_2260	ERv2164c	CDS	Rv2164c	2430257	2431412	-	ratt
Erdman_2261	ERv2165c	CDS	Rv2165c	2431408	2432599	-	ratt
Erdman_2262	ERv2166c	CDS	Rv2166c	2432600	2433032	-	ratt
Erdman_2263	ERv2169c	CDS	Rv2169c	2433380	2433785	-	ratt
Erdman_2264	ERv2170	CDS	Rv2170	2434050	2434671	+	ratt
Erdman_2265	lppM	CDS	Rv2171	2434766	2435450	+	ratt
Erdman_2266	ERv2172c	CDS	Rv2172c	2435446	2436352	-	ratt
Erdman_2267	idsA2	CDS	Rv2173	2436662	2437721	+	ratt
Erdman_2268	mptA	CDS	Rv2174	2437724	2439275	+	ratt
Erdman_2269	ERv2175c	CDS	Rv2175c	2439261	2439702	-	ratt
Erdman_2270	pknL	CDS	Rv2176	2439756	2440956	+	ratt
Erdman_2271	ERv2177c	CDS	Rv2177c	2441097	2441763	-	ratt
Erdman_2272	aroG	CDS	Rv2178c	2442147	2443536	-	ratt
Erdman_2273	ERv2179c	CDS	Rv2179c	2443626	2444133	-	ratt
Erdman_2274	ERv2180c	CDS	Rv2180c	2444142	2445030	-	ratt
Erdman_2275	ERv2181	CDS	Rv2181	2445117	2446401	+	ratt
Erdman_2276	ERv2182c	CDS	Rv2182c	2446401	2447145	-	ratt
Erdman_2277	ERv2183c	CDS	Rv2183c	2447230	2447626	-	ratt
Erdman_2278	ERv2184c	CDS	Rv2184c	2447622	2448762	-	ratt
Erdman_2279	TB16.3	CDS	Rv2185c	2448881	2449316	-	ratt
Erdman_2280	ERv2186c	CDS	Rv2186c	2449420	2449810	-	ratt
Erdman_2281	fadD15	CDS	Rv2187	2449975	2451778	+	ratt
Erdman_2282	pimB	CDS	Rv2188c	2451808	2452966	-	ratt
Erdman_2283	ERv2189c	CDS	Rv2189c	2453062	2453836	-	ratt
Erdman_2284	ERv2190c	CDS	Rv2190c	2453930	2455088	-	ratt
Erdman_2285	Erdman_2285	CDS		2455273	2455552	-	bakta
Erdman_2286	ERv2191	CDS	Rv2191	2455634	2457572	+	ratt
Erdman_2287	trpD	CDS	Rv2192c	2457446	2458559	-	ratt
Erdman_2288	ctaE	CDS	Rv2193	2458716	2459328	+	ratt
Erdman_2289	qcrC	CDS	Rv2194	2459368	2460211	+	ratt
Erdman_2290	qcrA	CDS	Rv2195	2460207	2461497	+	ratt
Erdman_2291	qcrB	CDS	Rv2196	2461493	2463143	+	ratt
Erdman_2292	ERv2197c	CDS	Rv2197c	2463262	2463907	-	ratt
Erdman_2293	mmpS3	CDS	Rv2198c	2463906	2464806	-	ratt
Erdman_2294	ERv2199c	CDS	Rv2199c	2464991	2465411	-	ratt
Erdman_2295	ctaC	CDS	Rv2200c	2465418	2466510	-	ratt
Erdman_2296	asnB	CDS	Rv2201	2466755	2468714	+	ratt
Erdman_2297	adoK	CDS	Rv2202c	2468811	2469786	-	ratt
Erdman_2298	ERv2203	CDS	Rv2203	2469989	2470682	+	ratt
Erdman_2299	ERv2204c	CDS	Rv2204c	2470689	2471046	-	ratt
Erdman_2300	ERv2205c	CDS	Rv2205c	2471145	2472222	-	ratt
Erdman_2301	ERv2206	CDS	Rv2206	2472380	2473091	+	ratt
Erdman_2302	cobT	CDS	Rv2207	2473169	2474255	+	ratt
Erdman_2303	cobS	CDS	Rv2208	2474251	2475001	+	ratt
Erdman_2304	ERv2209	CDS	Rv2209	2475158	2476697	+	ratt
Erdman_2305	ilvE	CDS	Rv2210c	2476622	2477729	-	ratt
Erdman_2306	gcvT	CDS	Rv2211c	2477800	2478940	-	ratt
Erdman_2307	ERv2212	CDS	Rv2212	2478948	2480085	+	ratt
Erdman_2308	pepB	CDS	Rv2213	2480096	2481644	+	ratt
Erdman_2309	ephD	CDS	Rv2214c	2481681	2483460	-	ratt
Erdman_2310	dlaT	CDS	Rv2215	2483723	2485385	+	ratt
Erdman_2311	ERv2216	CDS	Rv2216	2485384	2486290	+	ratt
Erdman_2312	lipB	CDS	Rv2217	2486342	2487035	+	ratt
Erdman_2313	lipA	CDS	Rv2218	2487031	2487967	+	ratt
Erdman_2314	ERv2219	CDS	Rv2219	2487993	2488746	+	ratt
Erdman_2315	ERv2219A	CDS	Rv2219A	2488752	2489175	-	ratt
Erdman_2316	glnA1	CDS	Rv2220	2489373	2490810	+	ratt
Erdman_2317	glnE	CDS	Rv2221c	2491127	2494112	-	ratt
Erdman_2318	glnA2	CDS	Rv2222c	2494160	2495501	-	ratt
Erdman_2319	ERv2223c	CDS	Rv2223c	2495595	2497158	-	ratt
Erdman_2320	caeA	CDS	Rv2224c	2497219	2498782	-	ratt
Erdman_2321	ERv2224d	CDS	Rv2224d	2498983	2499205	-	ratt
Erdman_2322	panB	CDS	Rv2225	2499500	2500346	+	ratt
Erdman_2323	ERv2226	CDS	Rv2226	2500590	2502132	+	ratt
Erdman_2324	rnpB	misc_RNA	Rvns01	2502203	2502510	-	ratt
Erdman_2325	ERv2227	CDS	Rv2227	2502689	2503391	+	ratt
Erdman_2326	ERv2228c	CDS	Rv2228c	2503402	2504497	-	ratt
Erdman_2327	ERv2229c	CDS	Rv2229c	2504493	2505231	-	ratt
Erdman_2328	ERv2230c	CDS	Rv2230c	2505227	2506367	-	ratt
Erdman_2329	cobC	CDS	Rv2231c	2506363	2507458	-	ratt
Erdman_2330	vapC16	CDS	Rv2231A	2507494	2507920	-	ratt
Erdman_2331	vapB16	CDS	Rv2231B	2507965	2508142	-	ratt
Erdman_2332	ptkA	CDS	Rv2232	2508036	2508912	+	ratt
Erdman_2333	ptpA	CDS	Rv2234	2508904	2509396	+	ratt
Erdman_2334	ERv2235	CDS	Rv2235	2509395	2510211	+	ratt
Erdman_2335	cobD	CDS	Rv2236c	2510192	2511134	-	ratt
Erdman_2336	ERv2237	CDS	Rv2237	2511247	2512015	+	ratt
Erdman_2337	ERv2237A	CDS	Rv2237A	2512109	2512346	-	ratt
Erdman_2338	valV	tRNA	Rvnt23	2512356	2512428	-	ratt
Erdman_2339	ahpE	CDS	Rv2238c	2512473	2512935	-	ratt
Erdman_2340	ERv2239c	CDS	Rv2239c	2512934	2513411	-	ratt
Erdman_2341	ERv2240c	CDS	Rv2240c	2513448	2514039	-	ratt
Erdman_2342	aceE	CDS	Rv2241	2514297	2517003	+	ratt
Erdman_2343	ERv2242	CDS	Rv2242	2517062	2518307	+	ratt
Erdman_2344	fabD	CDS	Rv2243	2518545	2519454	+	ratt
Erdman_2345	mcr16	ncRNA	RVnc0018	2518790	2518893	-	ratt
Erdman_2346	acpM	CDS	Rv2244	2519529	2519877	+	ratt
Erdman_2347	kasA	CDS	Rv2245	2519873	2521124	+	ratt
Erdman_2348	kasB	CDS	Rv2246	2521154	2522471	+	ratt
Erdman_2349	accD6	CDS	Rv2247	2522501	2523923	+	ratt
Erdman_2350	ERv2248	CDS	Rv2248	2524118	2524943	+	ratt
Erdman_2351	glpD1	CDS	Rv2249c	2525001	2526552	-	ratt
Erdman_2352	ERv2250c	CDS	Rv2250c	2526545	2527115	-	ratt
Erdman_2353	ERv2251	CDS	Rv2251	2527132	2528752	+	ratt
Erdman_2354	ERv2252	CDS	Rv2252	2528748	2529678	+	ratt
Erdman_2355	ERv2253	CDS	Rv2253	2529743	2530247	+	ratt
Erdman_2356	ERv2254c	CDS	Rv2254c	2530279	2530735	-	ratt
Erdman_2357	ERv2256a	CDS	Rv2256a	2530739	2530934	-	ratt
Erdman_2358	ERv2256c	CDS	Rv2256c	2531100	2531634	-	ratt
Erdman_2359	ERv2257c	CDS	Rv2257c	2531763	2532582	-	ratt
Erdman_2360	ERv2258c	CDS	Rv2258c	2532595	2533657	-	ratt
Erdman_2361	mscR	CDS	Rv2259	2533845	2534931	+	ratt
Erdman_2362	ERv2260	CDS	Rv2260	2534930	2535566	+	ratt
Erdman_2363	lnt	CDS		2535642	2537163	-	bakta
Erdman_2364	ERv2263	CDS	Rv2263	2537239	2538193	+	ratt
Erdman_2365	ERv2264c	CDS	Rv2264c	2538170	2539949	-	ratt
Erdman_2366	ERv2265	CDS	Rv2265	2540298	2541528	+	ratt
Erdman_2367	cyp124	CDS	Rv2266	2541702	2542989	+	ratt
Erdman_2368	ERv2267c	CDS	Rv2267c	2543242	2544409	-	ratt
Erdman_2369	cyp128	CDS	Rv2268c	2544497	2545874	-	ratt
Erdman_2370	ERv2269c	CDS	Rv2269c	2545886	2546219	-	ratt
Erdman_2371	lppN	CDS	Rv2270	2546295	2546847	+	ratt
Erdman_2372	Erdman_2372	CDS		2546867	2548058	+	bakta
Erdman_2373	pitB	CDS	Rv2281	2548292	2549951	+	ratt
Erdman_2374	ERv2282c	CDS	Rv2282c	2550057	2550996	-	ratt
Erdman_2375	ERv2283	CDS	Rv2283	2551060	2551255	+	ratt
Erdman_2376	lipM	CDS	Rv2284	2551264	2552560	+	ratt
Erdman_2377	ERv2285	CDS	Rv2285	2552592	2553930	+	ratt
Erdman_2378	ERv2286c	CDS	Rv2286c	2553996	2554689	-	ratt
Erdman_2379	yjcE	CDS	Rv2287	2554822	2556451	+	ratt
Erdman_2380	ERv2288	CDS	Rv2288	2556447	2556825	+	ratt
Erdman_2381	cdh	CDS	Rv2289	2556794	2557577	+	ratt
Erdman_2382	lppO	CDS	Rv2290	2557718	2558234	+	ratt
Erdman_2383	sseB	CDS	Rv2291	2558293	2559148	+	ratt
Erdman_2384	ERv2292c	CDS	Rv2292c	2559148	2559373	-	ratt
Erdman_2385	ERv2293c	CDS	Rv2293c	2559411	2560152	-	ratt
